               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  94,            0.017119,            0.018877,           0.0010548,             0.91192,                 0.5,             0.46095,             0.39599,            0.027241,           0.0083084,           0.0010809,            0.006931,            0.006931,            0.006931
                  95,            0.016494,            0.017748,          0.00080535,             0.46073,             0.52529,             0.48213,             0.37441,            0.028438,           0.0078187,           0.0025385,            0.006898,            0.006898,            0.006898
                  96,            0.016786,            0.018109,          0.00095017,             0.39646,                 0.5,             0.46655,             0.37962,            0.031513,           0.0077868,           0.0026118,            0.006865,            0.006865,            0.006865
                  97,            0.016236,            0.018287,          0.00080632,             0.90309,                 0.5,             0.44064,             0.37698,            0.029794,           0.0084767,           0.0010642,            0.006832,            0.006832,            0.006832
                  98,            0.016094,            0.016884,          0.00087143,             0.90236,                 0.5,             0.44942,              0.3734,            0.031229,           0.0079665,           0.0006484,            0.006799,            0.006799,            0.006799
                  99,            0.017067,            0.018029,          0.00081654,             0.91524,                 0.5,             0.44816,             0.36442,            0.030339,           0.0089192,           0.0017968,            0.006766,            0.006766,            0.006766
                 100,            0.016287,            0.018537,          0.00076969,               0.935,             0.48684,              0.4569,             0.36975,            0.030939,           0.0088902,          0.00080976,            0.006733,            0.006733,            0.006733
                 101,             0.01636,            0.018165,          0.00090712,             0.94083,             0.49019,             0.50214,             0.38426,            0.029104,           0.0085349,           0.0014335,              0.0067,              0.0067,              0.0067
                 102,            0.015716,             0.01789,           0.0010413,             0.93729,                 0.5,             0.53108,             0.39519,            0.028051,           0.0078964,           0.0024701,            0.006667,            0.006667,            0.006667
                 103,            0.016432,            0.018424,           0.0010942,             0.88831,                 0.5,             0.53477,             0.42362,             0.02719,           0.0078039,           0.0029171,            0.006634,            0.006634,            0.006634
                 104,            0.016351,             0.01772,           0.0010897,             0.94171,                 0.5,             0.46969,             0.38909,            0.026186,           0.0078974,            0.003379,            0.006601,            0.006601,            0.006601
                 105,            0.016517,            0.017922,          0.00092132,             0.94088,                 0.5,             0.46452,             0.39412,            0.028825,            0.007977,            0.002505,            0.006568,            0.006568,            0.006568
                 106,            0.015775,            0.017388,           0.0011698,             0.95095,             0.48398,             0.50356,             0.41515,            0.028457,           0.0078373,           0.0012072,            0.006535,            0.006535,            0.006535
                 107,             0.01585,            0.017404,           0.0011011,             0.54875,             0.53663,             0.49706,             0.40802,            0.029576,           0.0082455,          0.00049505,            0.006502,            0.006502,            0.006502
                 108,            0.015953,            0.017409,          0.00077156,             0.62204,              0.5625,             0.48575,             0.40272,            0.029687,           0.0078058,           0.0004529,            0.006469,            0.006469,            0.006469
                 109,            0.016032,             0.01802,          0.00084073,             0.90417,                 0.5,             0.52237,             0.40794,             0.03045,             0.00806,          0.00041661,            0.006436,            0.006436,            0.006436
                 110,            0.016066,             0.01795,          0.00083521,             0.90567,                 0.5,             0.50029,             0.38774,            0.028914,           0.0079565,          0.00071907,            0.006403,            0.006403,            0.006403
                 111,             0.01569,            0.017223,          0.00099685,             0.90512,                 0.5,             0.49993,             0.41111,            0.028034,           0.0087004,           0.0012244,             0.00637,             0.00637,             0.00637
                 112,            0.015137,            0.017666,          0.00079871,             0.54202,             0.53434,             0.52493,             0.42938,            0.024528,           0.0081329,          0.00086584,            0.006337,            0.006337,            0.006337
                 113,            0.015824,            0.018363,          0.00082028,             0.91154,                 0.5,             0.47356,             0.40949,            0.025811,           0.0077543,          0.00050926,            0.006304,            0.006304,            0.006304
