               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  90,            0.017787,            0.019415,          0.00094536,              0.9389,             0.47263,             0.46326,             0.37538,            0.032479,           0.0083528,          0.00041556,            0.007063,            0.007063,            0.007063
                  91,            0.017813,            0.019448,           0.0012115,             0.94008,             0.48328,             0.47896,              0.3851,            0.032679,           0.0092087,          0.00050879,             0.00703,             0.00703,             0.00703
                  92,            0.017919,            0.019309,           0.0013973,             0.92958,             0.48165,             0.46244,             0.37549,             0.03093,           0.0084805,          0.00049815,            0.006997,            0.006997,            0.006997
                  93,            0.018583,            0.019009,           0.0016377,             0.90129,                 0.5,             0.44783,              0.3647,            0.028367,           0.0090747,          0.00073509,            0.006964,            0.006964,            0.006964
                  94,            0.018001,            0.020254,           0.0014469,             0.88827,                 0.5,             0.57341,             0.44938,            0.027274,           0.0087352,          0.00061369,            0.006931,            0.006931,            0.006931
                  95,            0.017001,            0.018936,           0.0011653,             0.88074,                 0.5,             0.56095,             0.42809,            0.027437,           0.0084419,          0.00096502,            0.006898,            0.006898,            0.006898
                  96,            0.017799,            0.019147,           0.0017054,             0.92857,             0.47365,             0.45343,             0.36782,            0.030833,           0.0087523,          0.00053034,            0.006865,            0.006865,            0.006865
                  97,            0.016667,            0.019636,           0.0011061,             0.89581,             0.49988,              0.4319,             0.36889,            0.031736,           0.0088825,          0.00043268,            0.006832,            0.006832,            0.006832
                  98,            0.017325,            0.018416,           0.0011752,             0.91843,                 0.5,             0.45386,             0.37517,            0.031612,            0.009059,          0.00047822,            0.006799,            0.006799,            0.006799
                  99,            0.017803,            0.019108,           0.0011608,             0.91901,                 0.5,             0.46024,             0.39031,            0.029817,           0.0088997,          0.00059834,            0.006766,            0.006766,            0.006766
                 100,            0.016527,            0.019775,           0.0010713,             0.91218,                 0.5,              0.4696,             0.38785,            0.029334,           0.0094967,          0.00056982,            0.006733,            0.006733,            0.006733
                 101,            0.016686,            0.019239,          0.00093205,              0.9279,                 0.5,             0.46142,             0.36847,            0.029615,           0.0089011,          0.00073261,              0.0067,              0.0067,              0.0067
                 102,            0.016861,            0.019134,           0.0013371,             0.90214,                 0.5,             0.43822,             0.35467,            0.029387,           0.0089965,           0.0011509,            0.006667,            0.006667,            0.006667
                 103,            0.016983,            0.019616,           0.0013199,             0.91109,                 0.5,              0.4546,             0.38217,            0.029669,           0.0083756,          0.00058393,            0.006634,            0.006634,            0.006634
                 104,            0.016762,            0.018945,           0.0012789,             0.92129,                 0.5,             0.45334,             0.36603,            0.029192,           0.0083251,          0.00062637,            0.006601,            0.006601,            0.006601
                 105,            0.017529,            0.018987,           0.0012415,             0.93328,                 0.5,             0.45111,             0.37438,            0.027617,           0.0084481,           0.0013383,            0.006568,            0.006568,            0.006568
                 106,            0.016881,            0.018423,           0.0014114,             0.94758,             0.46053,             0.44934,             0.37454,            0.030106,           0.0084815,          0.00079355,            0.006535,            0.006535,            0.006535
                 107,            0.016999,            0.018605,           0.0014465,             0.90145,                 0.5,             0.48181,             0.38726,             0.03022,           0.0086064,          0.00048218,            0.006502,            0.006502,            0.006502
